,year,essay_number,essay_ID,essay_version,ground_truth,pyramid_name,output_vector,identifier,is_file_found,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8
1195,2023.0,2.0,64210fc8c9a8df7fa3d2a2b6_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1196,2023.0,2.0,64210fc8c9a8df7fa3d2a2ba,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '0', '1', '1']",2O0,True,1,1,0,1,1,0,1,1
1197,2023.0,2.0,64210fc8c9a8df7fa3d2a2ba_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1198,2023.0,2.0,64210fc9c9a8df7fa3d2a2c2,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '0', '1', '0']",2O0,True,1,1,1,1,1,0,1,0
1199,2023.0,2.0,64210fc9c9a8df7fa3d2a2c2_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '0']",2R0,True,1,1,1,1,1,1,1,0
1200,2023.0,2.0,64210fc9c9a8df7fa3d2a2c6,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1201,2023.0,2.0,64210fc9c9a8df7fa3d2a2c6_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1202,2023.0,2.0,64210fcac9a8df7fa3d2a2ca,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1203,2023.0,2.0,64210fcac9a8df7fa3d2a2ca_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1205,2023.0,2.0,64210fcac9a8df7fa3d2a2ce_R,R,0.0,20231029.0,"['0', '1', '1', '1', '1', '1', '1', '0']",2R0,True,0,1,1,1,1,1,1,0
1206,2023.0,2.0,64210fcac9a8df7fa3d2a2d2,O,0.0,20231029.0,"['0', '0', '1', '1', '1', '1', '1', '1']",2O0,True,0,0,1,1,1,1,1,1
1207,2023.0,2.0,64210fcac9a8df7fa3d2a2d2_R,R,0.0,20231029.0,"['0', '0', '1', '1', '1', '1', '1', '1']",2R0,True,0,0,1,1,1,1,1,1
1208,2023.0,2.0,64210fcbc9a8df7fa3d2a2d6,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1209,2023.0,2.0,64210fcbc9a8df7fa3d2a2d6_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1210,2023.0,2.0,64210fcbc9a8df7fa3d2a2da,O,0.0,20231029.0,"['0', '0', '0', '1', '1', '1', '1', '0']",2O0,True,0,0,0,1,1,1,1,0
1211,2023.0,2.0,64210fcbc9a8df7fa3d2a2da_R,R,0.0,20231029.0,"['0', '0', '0', '0', '1', '1', '1', '0']",2R0,True,0,0,0,0,1,1,1,0
1213,2023.0,2.0,64210fcbc9a8df7fa3d2a2de_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '0', '1']",2R0,True,1,1,1,1,1,1,0,1
1214,2023.0,2.0,64210fccc9a8df7fa3d2a2e2,O,0.0,20231029.0,"['1', '1', '1', '0', '1', '1', '1', '0']",2O0,True,1,1,1,0,1,1,1,0
1216,2023.0,2.0,64210fccc9a8df7fa3d2a2e6,O,0.0,20231029.0,"['0', '1', '0', '1', '1', '0', '1', '1']",2O0,True,0,1,0,1,1,0,1,1
1217,2023.0,2.0,64210fccc9a8df7fa3d2a2e6_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '0']",2R0,True,1,1,0,1,1,1,1,0
1218,2023.0,2.0,64210fccc9a8df7fa3d2a2ea,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1219,2023.0,2.0,64210fccc9a8df7fa3d2a2ea_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1220,2023.0,2.0,64210fcdc9a8df7fa3d2a2ee,O,0.0,20231029.0,"['0', '0', '0', '0', '1', '0', '1', '1']",2O0,True,0,0,0,0,1,0,1,1
1221,2023.0,2.0,64210fcdc9a8df7fa3d2a2ee_R,R,0.0,20231029.0,"['0', '0', '0', '0', '1', '0', '1', '1']",2R0,True,0,0,0,0,1,0,1,1
1222,2023.0,2.0,64210fcdc9a8df7fa3d2a2f2,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1223,2023.0,2.0,64210fcdc9a8df7fa3d2a2f2_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1224,2023.0,2.0,64210fcdc9a8df7fa3d2a2f6,O,0.0,20231029.0,"['0', '0', '1', '1', '1', '1', '1', '1']",2O0,True,0,0,1,1,1,1,1,1
1225,2023.0,2.0,64210fcdc9a8df7fa3d2a2f6_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1226,2023.0,2.0,64210fcdc9a8df7fa3d2a2fa,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1227,2023.0,2.0,64210fcdc9a8df7fa3d2a2fa_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2R0,True,1,0,1,1,1,1,1,1
1228,2023.0,2.0,64210fcec9a8df7fa3d2a2fe,O,0.0,20231029.0,"['1', '0', '0', '0', '1', '1', '1', '0']",2O0,True,1,0,0,0,1,1,1,0
1229,2023.0,2.0,64210fcec9a8df7fa3d2a2fe_R,R,0.0,20231029.0,"['1', '0', '0', '0', '1', '1', '1', '0']",2R0,True,1,0,0,0,1,1,1,0
1230,2023.0,2.0,64210fcec9a8df7fa3d2a306,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1231,2023.0,2.0,64210fcec9a8df7fa3d2a306_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1232,2023.0,2.0,64210fcfc9a8df7fa3d2a30a,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1234,2023.0,2.0,64210fcfc9a8df7fa3d2a30e,O,0.0,20231029.0,"['0', '0', '0', '0', '0', '0', '0', '0']",2O0,True,0,0,0,0,0,0,0,0
1235,2023.0,2.0,64210fd0c9a8df7fa3d2a316,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1236,2023.0,2.0,64210fd0c9a8df7fa3d2a316_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2R0,True,1,0,1,1,1,1,1,1
1237,2023.0,2.0,64210fd0c9a8df7fa3d2a31a,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1238,2023.0,2.0,64210fd0c9a8df7fa3d2a31a_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1239,2023.0,2.0,64210fd0c9a8df7fa3d2a31e,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1240,2023.0,2.0,64210fd0c9a8df7fa3d2a31e_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1242,2023.0,2.0,64210fd1c9a8df7fa3d2a322_R,R,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2R0,True,1,0,0,1,1,1,1,1
1243,2023.0,2.0,64210fd1c9a8df7fa3d2a326,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '0', '1']",2O0,True,1,1,1,1,1,1,0,1
1244,2023.0,2.0,64210fd1c9a8df7fa3d2a326_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '0', '1']",2R0,True,1,1,1,1,1,1,0,1
1245,2023.0,2.0,64210fd1c9a8df7fa3d2a32a,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1246,2023.0,2.0,64210fd1c9a8df7fa3d2a32a_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1247,2023.0,2.0,64210fd2c9a8df7fa3d2a32e,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1248,2023.0,2.0,64210fd2c9a8df7fa3d2a32e_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1250,2023.0,2.0,64210fd2c9a8df7fa3d2a332_R,R,0.0,20231029.0,"['1', '1', '1', '0', '1', '1', '0', '1']",2R0,True,1,1,1,0,1,1,0,1
1252,2023.0,2.0,64210fd2c9a8df7fa3d2a336_R,R,0.0,20231029.0,"['0', '1', '1', '1', '1', '1', '1', '1']",2R0,True,0,1,1,1,1,1,1,1
1253,2023.0,2.0,64210fd2c9a8df7fa3d2a33a,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1254,2023.0,2.0,64210fd2c9a8df7fa3d2a33a_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2R0,True,1,0,1,1,1,1,1,1
1256,2023.0,2.0,64210fd3c9a8df7fa3d2a33e_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2R0,True,1,0,1,1,1,1,1,1
1257,2023.0,2.0,64210fd3c9a8df7fa3d2a342,O,0.0,20231029.0,"['0', '0', '1', '0', '1', '0', '1', '1']",2O0,True,0,0,1,0,1,0,1,1
1258,2023.0,2.0,64210fd3c9a8df7fa3d2a342_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '0', '1', '1']",2R0,True,1,0,1,1,1,0,1,1
1259,2023.0,2.0,64210fd3c9a8df7fa3d2a346,O,0.0,20231029.0,"['0', '0', '0', '0', '0', '0', '0', '0']",2O0,True,0,0,0,0,0,0,0,0
1260,2023.0,2.0,64210fd3c9a8df7fa3d2a346_R,R,0.0,20231029.0,"['0', '0', '0', '0', '0', '0', '0', '1']",2R0,True,0,0,0,0,0,0,0,1
1261,2023.0,2.0,64210fd4c9a8df7fa3d2a34a,O,0.0,20231029.0,"['0', '1', '0', '1', '1', '1', '1', '1']",2O0,True,0,1,0,1,1,1,1,1
1262,2023.0,2.0,64210fd4c9a8df7fa3d2a34a_R,R,0.0,20231029.0,"['0', '1', '1', '1', '1', '1', '1', '1']",2R0,True,0,1,1,1,1,1,1,1
1263,2023.0,2.0,64210fd4c9a8df7fa3d2a34e,O,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2O0,True,1,0,0,1,1,1,1,1
1264,2023.0,2.0,64210fd4c9a8df7fa3d2a34e_R,R,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2R0,True,1,0,0,1,1,1,1,1
1267,2023.0,2.0,64210fd5c9a8df7fa3d2a356,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '0', '1', '1']",2O0,True,1,1,1,1,1,0,1,1
1268,2023.0,2.0,64210fd5c9a8df7fa3d2a356_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '0', '1', '1']",2R0,True,1,1,1,1,1,0,1,1
1270,2023.0,2.0,64210fd5c9a8df7fa3d2a35e,O,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2O0,True,1,0,0,1,1,1,1,1
1271,2023.0,2.0,64210fd5c9a8df7fa3d2a35e_R,R,0.0,20231029.0,"['1', '0', '0', '1', '1', '0', '1', '1']",2R0,True,1,0,0,1,1,0,1,1
1272,2023.0,2.0,64210fd6c9a8df7fa3d2a362,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '0', '0', '0']",2O0,True,1,1,0,1,1,0,0,0
1273,2023.0,2.0,64210fd6c9a8df7fa3d2a366,O,0.0,20231029.0,"['0', '0', '1', '0', '1', '0', '0', '1']",2O0,True,0,0,1,0,1,0,0,1
1274,2023.0,2.0,64210fd6c9a8df7fa3d2a366_R,R,0.0,20231029.0,"['1', '0', '1', '0', '1', '0', '0', '1']",2R0,True,1,0,1,0,1,0,0,1
1275,2023.0,2.0,64210fd6c9a8df7fa3d2a36a,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1276,2023.0,2.0,64210fd6c9a8df7fa3d2a36a_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1277,2023.0,2.0,64210fd7c9a8df7fa3d2a36e,O,0.0,20231029.0,"['1', '0', '0', '1', '1', '0', '1', '1']",2O0,True,1,0,0,1,1,0,1,1
1278,2023.0,2.0,64210fd7c9a8df7fa3d2a36e_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1279,2023.0,2.0,64210fd7c9a8df7fa3d2a372,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1280,2023.0,2.0,64210fd7c9a8df7fa3d2a372_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1281,2023.0,2.0,64210fd7c9a8df7fa3d2a376,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1282,2023.0,2.0,64210fd7c9a8df7fa3d2a376_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1283,2023.0,2.0,64210fd7c9a8df7fa3d2a37a,O,0.0,20231029.0,"['1', '1', '0', '0', '1', '1', '1', '1']",2O0,True,1,1,0,0,1,1,1,1
1284,2023.0,2.0,64210fd7c9a8df7fa3d2a37a_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1285,2023.0,2.0,64210fd8c9a8df7fa3d2a382,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '0', '1']",2O0,True,1,0,1,1,1,1,0,1
1286,2023.0,2.0,64210fd8c9a8df7fa3d2a382_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '0', '1']",2R0,True,1,1,1,1,1,1,0,1
1287,2023.0,2.0,64210fd8c9a8df7fa3d2a386,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1288,2023.0,2.0,64210fd8c9a8df7fa3d2a386_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1289,2023.0,2.0,64210fd9c9a8df7fa3d2a38a,O,0.0,20231029.0,"['1', '0', '1', '0', '1', '1', '1', '1']",2O0,True,1,0,1,0,1,1,1,1
1290,2023.0,2.0,64210fd9c9a8df7fa3d2a38a_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1291,2023.0,2.0,64210fd9c9a8df7fa3d2a38e,O,0.0,20231029.0,"['1', '0', '0', '1', '1', '0', '1', '1']",2O0,True,1,0,0,1,1,0,1,1
1292,2023.0,2.0,64210fd9c9a8df7fa3d2a38e_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1293,2023.0,2.0,64210fd9c9a8df7fa3d2a392,O,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2O0,True,1,0,0,1,1,1,1,1
1294,2023.0,2.0,64210fd9c9a8df7fa3d2a392_R,R,0.0,20231029.0,"['1', '0', '0', '1', '1', '1', '1', '1']",2R0,True,1,0,0,1,1,1,1,1
1295,2023.0,2.0,64210fdac9a8df7fa3d2a396,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1296,2023.0,2.0,64210fdac9a8df7fa3d2a396_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1297,2023.0,2.0,64210fdac9a8df7fa3d2a39a,O,0.0,20231029.0,"['1', '1', '0', '0', '1', '0', '1', '1']",2O0,True,1,1,0,0,1,0,1,1
1298,2023.0,2.0,64210fdac9a8df7fa3d2a39a_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1299,2023.0,2.0,64210fdbc9a8df7fa3d2a3aa,O,0.0,20231029.0,"['1', '1', '1', '0', '0', '0', '1', '1']",2O0,True,1,1,1,0,0,0,1,1
1302,2023.0,2.0,64210fdcc9a8df7fa3d2a3b2,O,0.0,20231029.0,"['0', '1', '1', '1', '1', '0', '1', '1']",2O0,True,0,1,1,1,1,0,1,1
1303,2023.0,2.0,64210fdcc9a8df7fa3d2a3b2_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1304,2023.0,2.0,64210fdcc9a8df7fa3d2a3b6,O,0.0,20231029.0,"['0', '0', '1', '1', '1', '1', '0', '1']",2O0,True,0,0,1,1,1,1,0,1
1306,2023.0,2.0,64210fddc9a8df7fa3d2a3ba,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2O0,True,1,1,1,1,1,1,1,1
1307,2023.0,2.0,64210fddc9a8df7fa3d2a3ba_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1308,2023.0,2.0,64210fddc9a8df7fa3d2a3be,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1310,2023.0,2.0,64210fddc9a8df7fa3d2a3c2,O,0.0,20231029.0,"['1', '1', '1', '0', '1', '1', '1', '1']",2O0,True,1,1,1,0,1,1,1,1
1311,2023.0,2.0,64210fddc9a8df7fa3d2a3c2_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1313,2023.0,2.0,64210fdec9a8df7fa3d2a3c6_R,R,0.0,20231029.0,"['0', '1', '1', '0', '1', '0', '1', '0']",2R0,True,0,1,1,0,1,0,1,0
1314,2023.0,2.0,64210fdec9a8df7fa3d2a3ca,O,0.0,20231029.0,"['1', '1', '1', '1', '1', '0', '1', '1']",2O0,True,1,1,1,1,1,0,1,1
1315,2023.0,2.0,64210fdec9a8df7fa3d2a3ca_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '0', '1', '1']",2R0,True,1,1,1,1,1,0,1,1
1317,2023.0,2.0,64210fdec9a8df7fa3d2a3ce_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '0']",2R0,True,1,1,1,1,1,1,1,0
1318,2023.0,2.0,64210fdfc9a8df7fa3d2a3d2,O,0.0,20231029.0,"['0', '0', '1', '1', '1', '1', '0', '1']",2O0,True,0,0,1,1,1,1,0,1
1319,2023.0,2.0,64210fdfc9a8df7fa3d2a3d2_R,R,0.0,20231029.0,"['0', '0', '1', '1', '1', '1', '1', '1']",2R0,True,0,0,1,1,1,1,1,1
1322,2023.0,2.0,64210fdfc9a8df7fa3d2a3da,O,0.0,20231029.0,"['0', '1', '0', '1', '1', '0', '1', '1']",2O0,True,0,1,0,1,1,0,1,1
1324,2023.0,2.0,64210fe0c9a8df7fa3d2a3de,O,0.0,20231029.0,"['0', '0', '0', '1', '1', '0', '0', '0']",2O0,True,0,0,0,1,1,0,0,0
1325,2023.0,2.0,64210fe0c9a8df7fa3d2a3de_R,R,0.0,20231029.0,"['0', '0', '0', '1', '1', '0', '1', '1']",2R0,True,0,0,0,1,1,0,1,1
1326,2023.0,2.0,64210fe0c9a8df7fa3d2a3e2,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '0', '0', '1']",2O0,True,1,1,0,1,1,0,0,1
1327,2023.0,2.0,64210fe0c9a8df7fa3d2a3e2_R,R,0.0,20231029.0,"['1', '0', '0', '0', '1', '1', '1', '1']",2R0,True,1,0,0,0,1,1,1,1
1328,2023.0,2.0,64210fe0c9a8df7fa3d2a3e6,O,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2O0,True,1,0,1,1,1,1,1,1
1329,2023.0,2.0,64210fe0c9a8df7fa3d2a3e6_R,R,0.0,20231029.0,"['1', '0', '1', '1', '1', '1', '1', '1']",2R0,True,1,0,1,1,1,1,1,1
1330,2023.0,2.0,64210fe0c9a8df7fa3d2a3ea,O,0.0,20231029.0,"['0', '0', '0', '1', '1', '1', '0', '1']",2O0,True,0,0,0,1,1,1,0,1
1331,2023.0,2.0,64210fe0c9a8df7fa3d2a3ea_R,R,0.0,20231029.0,"['0', '0', '0', '1', '1', '1', '0', '1']",2R0,True,0,0,0,1,1,1,0,1
1332,2023.0,2.0,64210fe1c9a8df7fa3d2a3ee,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1333,2023.0,2.0,64210fe1c9a8df7fa3d2a3ee_R,R,0.0,20231029.0,"['1', '1', '1', '1', '1', '1', '1', '1']",2R0,True,1,1,1,1,1,1,1,1
1336,2023.0,2.0,64210fe1c9a8df7fa3d2a3f6,O,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2O0,True,1,1,0,1,1,1,1,1
1337,2023.0,2.0,64210fe1c9a8df7fa3d2a3f6_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
1338,2023.0,2.0,64210fe2c9a8df7fa3d2a3fa,O,0.0,20231029.0,"['1', '1', '0', '0', '1', '0', '1', '1']",2O0,True,1,1,0,0,1,0,1,1
1339,2023.0,2.0,64210fe2c9a8df7fa3d2a3fa_R,R,0.0,20231029.0,"['1', '1', '0', '1', '1', '1', '1', '1']",2R0,True,1,1,0,1,1,1,1,1
