,Unnamed: 0,year,essay_number,essay_ID,essay_version,ground_truth,pyramid_name,output_vector,identifier,is_file_found,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8
33,95,2023.0,1.0,6459945094c9f2071335bd75,O,1.0,,"[1, 1, 1, 1, 1, 0]",1O1,True,1,1,1,1,1,0,,
34,96,2023.0,1.0,6459945494c9f2071335bdb1,O,1.0,,"[1, 0, 1, 1, 1, 1]",1O1,True,1,0,1,1,1,1,,
35,97,2023.0,1.0,6459945594c9f2071335bdb9,O,1.0,,"[1, 0, 0, 0, 1, 1]",1O1,True,1,0,0,0,1,1,,
36,98,2023.0,1.0,6459945694c9f2071335bdcd,O,1.0,,"[0, 0, 1, 0, 0, 0]",1O1,True,0,0,1,0,0,0,,
37,101,2023.0,1.0,64210fc4c9a8df7fa3d2a28a_R,R,1.0,,"[1, 1, 1, 0, 1, 1]",1R1,True,1,1,1,0,1,1,,
38,103,2023.0,1.0,64210fc8c9a8df7fa3d2a2b2_R,R,1.0,,"[0, 1, 1, 1, 1, 1]",1R1,True,0,1,1,1,1,1,,
39,108,2023.0,1.0,64210fcec9a8df7fa3d2a306_R,R,1.0,,"[1, 1, 1, 1, 1, 1]",1R1,True,1,1,1,1,1,1,,
40,109,2023.0,1.0,64210fd1c9a8df7fa3d2a322_R,R,1.0,,"[1, 1, 0, 1, 1, 0]",1R1,True,1,1,0,1,1,0,,
41,115,2023.0,1.0,64210fddc9a8df7fa3d2a3ba_R,R,1.0,,"[1, 1, 1, 1, 1, 1]",1R1,True,1,1,1,1,1,1,,
42,121,2023.0,1.0,6459950794c9f2071335ed05_R,R,1.0,,"[1, 0, 0, 0, 0, 1]",1R1,True,1,0,0,0,0,1,,
43,122,2023.0,1.0,6459950794c9f2071335ed09_R,R,1.0,,"[0, 0, 1, 1, 1, 0]",1R1,True,0,0,1,1,1,0,,
44,126,2023.0,1.0,6459950e94c9f2071335ed59_R,R,1.0,,"[0, 1, 1, 1, 1, 1]",1R1,True,0,1,1,1,1,1,,
45,131,2023.0,1.0,6459951394c9f2071335ed9d_R,R,1.0,,"[0, 0, 1, 0, 1, 0]",1R1,True,0,0,1,0,1,0,,
46,133,2023.0,1.0,6459951594c9f2071335edb9_R,R,1.0,,"[1, 1, 1, 1, 1, 0]",1R1,True,1,1,1,1,1,0,,
47,141,2023.0,1.0,6459943d94c9f2071335bc8d_R,R,1.0,,"[1, 0, 1, 1, 1, 1]",1R1,True,1,0,1,1,1,1,,
48,143,2023.0,1.0,6459943f94c9f2071335bca5_R,R,1.0,,"[1, 0, 0, 1, 1, 1]",1R1,True,1,0,0,1,1,1,,
49,145,2023.0,1.0,6459944094c9f2071335bcb5_R,R,1.0,,"[0, 1, 1, 1, 1, 1]",1R1,True,0,1,1,1,1,1,,
50,150,2023.0,1.0,6459944894c9f2071335bd11_R,R,1.0,,"[0, 1, 1, 0, 1, 0]",1R1,True,0,1,1,0,1,0,,
51,155,2023.0,1.0,6459945094c9f2071335bd75_R,R,1.0,,"[1, 1, 1, 1, 1, 0]",1R1,True,1,1,1,1,1,0,,
52,156,2023.0,1.0,6459945494c9f2071335bdb1_R,R,1.0,,"[1, 0, 1, 1, 1, 1]",1R1,True,1,0,1,1,1,1,,
53,158,2023.0,1.0,6459945694c9f2071335bdcd_R,R,1.0,,"[1, 1, 1, 1, 0, 1]",1R1,True,1,1,1,1,0,1,,
54,159,2023.0,1.0,6459945994c9f2071335bde9_R,R,1.0,,"[0, 1, 1, 0, 1, 1]",1R1,True,0,1,1,0,1,1,,
55,218,2023.0,1.0,64210fc2c9a8df7fa3d2a276,O,0.0,20221207.0,"[1, 1, 0, 0, 0, 0]",1O0,True,1,1,0,0,0,0,,
56,219,2023.0,1.0,64210fc3c9a8df7fa3d2a27e,O,0.0,20221207.0,"[0, 1, 1, 0, 1, 1]",1O0,True,0,1,1,0,1,1,,
57,220,2023.0,1.0,64210fc3c9a8df7fa3d2a282,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 1]",1O0,True,1,0,0,1,1,1,,
58,221,2023.0,1.0,64210fc4c9a8df7fa3d2a286,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
59,222,2023.0,1.0,64210fc4c9a8df7fa3d2a28a,O,0.0,20221207.0,"[0, 1, 1, 0, 1, 1]",1O0,True,0,1,1,0,1,1,,
60,223,2023.0,1.0,64210fc5c9a8df7fa3d2a28e,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
61,224,2023.0,1.0,64210fc5c9a8df7fa3d2a292,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
62,225,2023.0,1.0,64210fc5c9a8df7fa3d2a296,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
63,226,2023.0,1.0,64210fc6c9a8df7fa3d2a29a,O,0.0,20221207.0,"[0, 0, 1, 1, 1, 0]",1O0,True,0,0,1,1,1,0,,
64,227,2023.0,1.0,64210fc6c9a8df7fa3d2a29e,O,0.0,20221207.0,"[1, 1, 1, 0, 0, 1]",1O0,True,1,1,1,0,0,1,,
65,228,2023.0,1.0,64210fc6c9a8df7fa3d2a2a2,O,0.0,20221207.0,"[1, 0, 1, 0, 1, 0]",1O0,True,1,0,1,0,1,0,,
66,229,2023.0,1.0,64210fc7c9a8df7fa3d2a2a6,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 1]",1O0,True,1,0,0,1,1,1,,
67,230,2023.0,1.0,64210fc7c9a8df7fa3d2a2aa,O,0.0,20221207.0,"[1, 1, 1, 0, 1, 0]",1O0,True,1,1,1,0,1,0,,
68,231,2023.0,1.0,64210fc7c9a8df7fa3d2a2ae,O,0.0,20221207.0,"[1, 0, 1, 0, 1, 0]",1O0,True,1,0,1,0,1,0,,
69,232,2023.0,1.0,64210fc8c9a8df7fa3d2a2b2,O,0.0,20221207.0,"[0, 1, 0, 0, 0, 0]",1O0,True,0,1,0,0,0,0,,
70,233,2023.0,1.0,64210fc8c9a8df7fa3d2a2b6,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 1]",1O0,True,1,0,1,1,1,1,,
71,234,2023.0,1.0,64210fc8c9a8df7fa3d2a2ba,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 1]",1O0,True,1,0,1,1,1,1,,
72,235,2023.0,1.0,64210fc9c9a8df7fa3d2a2be,O,0.0,20221207.0,"[0, 0, 0, 0, 0, 0]",1O0,True,0,0,0,0,0,0,,
73,236,2023.0,1.0,64210fc9c9a8df7fa3d2a2c2,O,0.0,20221207.0,"[1, 0, 1, 0, 0, 1]",1O0,True,1,0,1,0,0,1,,
74,237,2023.0,1.0,64210fc9c9a8df7fa3d2a2c6,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
75,238,2023.0,1.0,64210fcac9a8df7fa3d2a2ca,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 1]",1O0,True,1,0,0,1,1,1,,
76,239,2023.0,1.0,64210fcac9a8df7fa3d2a2ce,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
77,240,2023.0,1.0,64210fcac9a8df7fa3d2a2d2,O,0.0,20221207.0,"[0, 1, 1, 1, 0, 1]",1O0,True,0,1,1,1,0,1,,
78,241,2023.0,1.0,64210fcbc9a8df7fa3d2a2d6,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 1]",1O0,True,1,0,1,1,1,1,,
79,242,2023.0,1.0,64210fcbc9a8df7fa3d2a2da,O,0.0,20221207.0,"[0, 1, 0, 1, 1, 0]",1O0,True,0,1,0,1,1,0,,
80,243,2023.0,1.0,64210fcbc9a8df7fa3d2a2de,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 1]",1O0,True,1,0,0,0,1,1,,
81,244,2023.0,1.0,64210fccc9a8df7fa3d2a2e2,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
82,245,2023.0,1.0,642b4898802ee324e0c93201,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 1]",1O0,True,1,0,1,1,1,1,,
83,246,2023.0,1.0,64210fccc9a8df7fa3d2a2e6,O,0.0,20221207.0,"[0, 1, 1, 0, 1, 1]",1O0,True,0,1,1,0,1,1,,
84,247,2023.0,1.0,64210fccc9a8df7fa3d2a2ea,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
85,249,2023.0,1.0,64210fcdc9a8df7fa3d2a2f2,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 0]",1O0,True,1,1,0,1,1,0,,
86,251,2023.0,1.0,64210fcdc9a8df7fa3d2a2fa,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
87,252,2023.0,1.0,64210fcec9a8df7fa3d2a2fe,O,0.0,20221207.0,"[0, 0, 0, 0, 1, 1]",1O0,True,0,0,0,0,1,1,,
88,253,2023.0,1.0,64210fcec9a8df7fa3d2a306,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
89,254,2023.0,1.0,64210fcfc9a8df7fa3d2a30a,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
90,255,2023.0,1.0,64210fcfc9a8df7fa3d2a30e,O,0.0,20221207.0,"[0, 0, 0, 0, 0, 0]",1O0,True,0,0,0,0,0,0,,
91,256,2023.0,1.0,64210fd0c9a8df7fa3d2a316,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
92,257,2023.0,1.0,64210fd0c9a8df7fa3d2a31a,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
93,258,2023.0,1.0,64210fd0c9a8df7fa3d2a31e,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
94,259,2023.0,1.0,64210fd1c9a8df7fa3d2a322,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 1]",1O0,True,1,0,0,1,1,1,,
95,260,2023.0,1.0,64210fd1c9a8df7fa3d2a326,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
96,261,2023.0,1.0,64210fd1c9a8df7fa3d2a32a,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 0]",1O0,True,1,0,0,1,1,0,,
97,263,2023.0,1.0,64210fd2c9a8df7fa3d2a332,O,0.0,20221207.0,"[0, 0, 0, 1, 1, 1]",1O0,True,0,0,0,1,1,1,,
98,264,2023.0,1.0,64210fd2c9a8df7fa3d2a336,O,0.0,20221207.0,"[0, 0, 1, 1, 1, 1]",1O0,True,0,0,1,1,1,1,,
99,265,2023.0,1.0,64210fd2c9a8df7fa3d2a33a,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 1]",1O0,True,1,0,1,1,1,1,,
100,266,2023.0,1.0,64210fd3c9a8df7fa3d2a33e,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
101,267,2023.0,1.0,64210fd3c9a8df7fa3d2a342,O,0.0,20221207.0,"[1, 0, 1, 0, 1, 1]",1O0,True,1,0,1,0,1,1,,
102,268,2023.0,1.0,64210fd3c9a8df7fa3d2a346,O,0.0,20221207.0,"[0, 0, 0, 0, 0, 0]",1O0,True,0,0,0,0,0,0,,
103,269,2023.0,1.0,64210fd4c9a8df7fa3d2a34a,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
104,270,2023.0,1.0,64210fd4c9a8df7fa3d2a34e,O,0.0,20221207.0,"[1, 1, 1, 1, 0, 1]",1O0,True,1,1,1,1,0,1,,
105,271,2023.0,1.0,64210fd4c9a8df7fa3d2a352,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
106,272,2023.0,1.0,64210fd5c9a8df7fa3d2a356,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
107,273,2023.0,1.0,64210fd5c9a8df7fa3d2a35a,O,0.0,20221207.0,"[1, 1, 0, 0, 1, 0]",1O0,True,1,1,0,0,1,0,,
108,274,2023.0,1.0,64210fd5c9a8df7fa3d2a35e,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 0]",1O0,True,1,1,0,1,1,0,,
109,275,2023.0,1.0,64210fd6c9a8df7fa3d2a362,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 0]",1O0,True,1,0,0,0,1,0,,
110,276,2023.0,1.0,64210fd6c9a8df7fa3d2a366,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 1]",1O0,True,1,0,0,0,1,1,,
111,277,2023.0,1.0,64210fd6c9a8df7fa3d2a36a,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 0]",1O0,True,1,0,1,1,1,0,,
112,279,2023.0,1.0,64210fd7c9a8df7fa3d2a372,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
113,280,2023.0,1.0,64210fd7c9a8df7fa3d2a376,O,0.0,20221207.0,"[1, 1, 0, 0, 1, 0]",1O0,True,1,1,0,0,1,0,,
114,281,2023.0,1.0,64210fd7c9a8df7fa3d2a37a,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 1]",1O0,True,1,0,0,0,1,1,,
115,283,2023.0,1.0,64210fd8c9a8df7fa3d2a386,O,0.0,20221207.0,"[1, 1, 1, 0, 1, 1]",1O0,True,1,1,1,0,1,1,,
116,284,2023.0,1.0,64210fd9c9a8df7fa3d2a38a,O,0.0,20221207.0,"[1, 1, 0, 0, 1, 1]",1O0,True,1,1,0,0,1,1,,
117,286,2023.0,1.0,64210fd9c9a8df7fa3d2a392,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
118,287,2023.0,1.0,64210fdac9a8df7fa3d2a396,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
119,288,2023.0,1.0,64210fdac9a8df7fa3d2a39a,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
120,290,2023.0,1.0,64210fdcc9a8df7fa3d2a3ae,O,0.0,20221207.0,"[1, 1, 0, 0, 1, 1]",1O0,True,1,1,0,0,1,1,,
121,291,2023.0,1.0,64210fdcc9a8df7fa3d2a3b2,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
122,292,2023.0,1.0,64210fdcc9a8df7fa3d2a3b6,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
123,294,2023.0,1.0,64210fddc9a8df7fa3d2a3be,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
124,295,2023.0,1.0,64210fddc9a8df7fa3d2a3c2,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
125,297,2023.0,1.0,64210fdec9a8df7fa3d2a3ca,O,0.0,20221207.0,"[0, 1, 0, 0, 1, 1]",1O0,True,0,1,0,0,1,1,,
126,298,2023.0,1.0,64210fdec9a8df7fa3d2a3ce,O,0.0,20221207.0,"[1, 0, 1, 1, 1, 1]",1O0,True,1,0,1,1,1,1,,
127,299,2023.0,1.0,64210fdfc9a8df7fa3d2a3d2,O,0.0,20221207.0,"[0, 1, 1, 1, 0, 0]",1O0,True,0,1,1,1,0,0,,
128,301,2023.0,1.0,64210fdfc9a8df7fa3d2a3da,O,0.0,20221207.0,"[0, 0, 1, 0, 1, 1]",1O0,True,0,0,1,0,1,1,,
129,302,2023.0,1.0,64210fe0c9a8df7fa3d2a3de,O,0.0,20221207.0,"[0, 0, 1, 1, 1, 1]",1O0,True,0,0,1,1,1,1,,
130,303,2023.0,1.0,64210fe0c9a8df7fa3d2a3e2,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 1]",1O0,True,1,0,0,0,1,1,,
131,304,2023.0,1.0,64210fe0c9a8df7fa3d2a3e6,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 0]",1O0,True,1,0,0,0,1,0,,
132,305,2023.0,1.0,64210fe0c9a8df7fa3d2a3ea,O,0.0,20221207.0,"[0, 0, 0, 0, 1, 1]",1O0,True,0,0,0,0,1,1,,
133,306,2023.0,1.0,64210fe1c9a8df7fa3d2a3ee,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
134,308,2023.0,1.0,64210fe1c9a8df7fa3d2a3f6,O,0.0,20221207.0,"[1, 1, 0, 0, 1, 0]",1O0,True,1,1,0,0,1,0,,
135,309,2023.0,1.0,64210fe2c9a8df7fa3d2a3fa,O,0.0,20221207.0,"[1, 1, 0, 0, 0, 0]",1O0,True,1,1,0,0,0,0,,
136,311,2023.0,1.0,64210fe2c9a8df7fa3d2a402,O,0.0,20221207.0,"[1, 1, 1, 0, 1, 0]",1O0,True,1,1,1,0,1,0,,
137,312,2023.0,1.0,64210fe3c9a8df7fa3d2a406,O,0.0,20221207.0,"[0, 0, 0, 1, 1, 1]",1O0,True,0,0,0,1,1,1,,
138,313,2023.0,1.0,64210fe3c9a8df7fa3d2a40a,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
139,314,2023.0,1.0,64210fe4c9a8df7fa3d2a40e,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 1]",1O0,True,1,0,0,1,1,1,,
140,315,2023.0,1.0,64211204c9a8df7fa3d2b727,O,0.0,20221207.0,"[1, 1, 1, 0, 1, 1]",1O0,True,1,1,1,0,1,1,,
141,316,2023.0,1.0,64211204c9a8df7fa3d2b72b,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
142,317,2023.0,1.0,64211205c9a8df7fa3d2b72f,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
143,318,2023.0,1.0,64211206c9a8df7fa3d2b733,O,0.0,20221207.0,"[1, 0, 0, 0, 1, 1]",1O0,True,1,0,0,0,1,1,,
144,319,2023.0,1.0,64211207c9a8df7fa3d2b73b,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
145,321,2023.0,1.0,64211208c9a8df7fa3d2b747,O,0.0,20221207.0,"[1, 1, 0, 0, 0, 1]",1O0,True,1,1,0,0,0,1,,
146,322,2023.0,1.0,64211209c9a8df7fa3d2b74b,O,0.0,20221207.0,"[1, 0, 0, 1, 1, 0]",1O0,True,1,0,0,1,1,0,,
147,323,2023.0,1.0,64211209c9a8df7fa3d2b74f,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
148,324,2023.0,1.0,6421120ac9a8df7fa3d2b753,O,0.0,20221207.0,"[1, 0, 1, 0, 1, 1]",1O0,True,1,0,1,0,1,1,,
149,325,2023.0,1.0,6421120ac9a8df7fa3d2b757,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
150,326,2023.0,1.0,6421120bc9a8df7fa3d2b75b,O,0.0,20221207.0,"[1, 0, 1, 0, 1, 1]",1O0,True,1,0,1,0,1,1,,
151,327,2023.0,1.0,6421120cc9a8df7fa3d2b763,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 0]",1O0,True,1,1,0,1,1,0,,
152,328,2023.0,1.0,6421120cc9a8df7fa3d2b767,O,0.0,20221207.0,"[1, 1, 0, 0, 1, 1]",1O0,True,1,1,0,0,1,1,,
153,329,2023.0,1.0,6421120dc9a8df7fa3d2b76b,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
154,330,2023.0,1.0,6421120dc9a8df7fa3d2b76f,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 0]",1O0,True,1,1,0,1,1,0,,
155,331,2023.0,1.0,6421120ec9a8df7fa3d2b773,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
156,332,2023.0,1.0,6421120ec9a8df7fa3d2b777,O,0.0,20221207.0,"[0, 1, 0, 0, 1, 1]",1O0,True,0,1,0,0,1,1,,
157,333,2023.0,1.0,6421120fc9a8df7fa3d2b77b,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
158,334,2023.0,1.0,64211210c9a8df7fa3d2b783,O,0.0,20221207.0,"[1, 0, 1, 0, 1, 0]",1O0,True,1,0,1,0,1,0,,
159,335,2023.0,1.0,64211211c9a8df7fa3d2b787,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
160,336,2023.0,1.0,64211211c9a8df7fa3d2b78b,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
161,337,2023.0,1.0,64211212c9a8df7fa3d2b793,O,0.0,20221207.0,"[1, 1, 0, 1, 1, 1]",1O0,True,1,1,0,1,1,1,,
162,338,2023.0,1.0,64211213c9a8df7fa3d2b797,O,0.0,20221207.0,"[1, 1, 1, 0, 1, 1]",1O0,True,1,1,1,0,1,1,,
163,339,2023.0,1.0,64211214c9a8df7fa3d2b79f,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
164,342,2023.0,1.0,64211217c9a8df7fa3d2b7af,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
165,343,2023.0,1.0,64211217c9a8df7fa3d2b7b3,O,0.0,20221207.0,"[1, 1, 1, 0, 1, 1]",1O0,True,1,1,1,0,1,1,,
166,344,2023.0,1.0,64211218c9a8df7fa3d2b7b7,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
167,345,2023.0,1.0,64211218c9a8df7fa3d2b7bb,O,0.0,20221207.0,"[1, 1, 1, 1, 1, 1]",1O0,True,1,1,1,1,1,1,,
